<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ФСК ЕЭС ао;W;22/08/11;000000;0.26599;12415190000
ФСК ЕЭС ао;W;29/08/11;000000;0.2805;14995620000
ФСК ЕЭС ао;W;05/09/11;000000;0.27914;9649080000
ФСК ЕЭС ао;W;12/09/11;000000;0.267;16442810000
ФСК ЕЭС ао;W;19/09/11;000000;0.22899;19129620000
ФСК ЕЭС ао;W;26/09/11;000000;0.24;13353140000
ФСК ЕЭС ао;W;03/10/11;000000;0.242;11558770000
ФСК ЕЭС ао;W;10/10/11;000000;0.2698;11605830000
ФСК ЕЭС ао;W;17/10/11;000000;0.2707;11729470000
ФСК ЕЭС ао;W;24/10/11;000000;0.2848;9633180000
ФСК ЕЭС ао;W;31/10/11;000000;0.2847;5475890000
ФСК ЕЭС ао;W;07/11/11;000000;0.3176;9950710000
ФСК ЕЭС ао;W;14/11/11;000000;0.3125;11881180000
ФСК ЕЭС ао;W;21/11/11;000000;0.31588;12134410000
ФСК ЕЭС ао;W;28/11/11;000000;0.33942;9595440000
ФСК ЕЭС ао;W;05/12/11;000000;0.3055;8757250000
ФСК ЕЭС ао;W;12/12/11;000000;0.30714;11519290000
ФСК ЕЭС ао;W;19/12/11;000000;0.27652;6886460000
ФСК ЕЭС ао;W;26/12/11;000000;0.2811;3235560000
ФСК ЕЭС ао;W;02/01/12;000000;0.3116;4036560000
ФСК ЕЭС ао;W;09/01/12;000000;0.31469;5187470000
ФСК ЕЭС ао;W;16/01/12;000000;0.31837;5544030000
ФСК ЕЭС ао;W;23/01/12;000000;0.30698;6869860000
ФСК ЕЭС ао;W;30/01/12;000000;0.3479;10737440000
ФСК ЕЭС ао;W;06/02/12;000000;0.3278;8739550000
ФСК ЕЭС ао;W;13/02/12;000000;0.33564;10176670000
ФСК ЕЭС ао;W;20/02/12;000000;0.33334;5642140000
ФСК ЕЭС ао;W;27/02/12;000000;0.3588;9771800000
ФСК ЕЭС ао;W;05/03/12;000000;0.36247;6547700000
ФСК ЕЭС ао;W;12/03/12;000000;0.34275;8456470000
ФСК ЕЭС ао;W;19/03/12;000000;0.3185;8996710000
ФСК ЕЭС ао;W;26/03/12;000000;0.3131;9662550000
ФСК ЕЭС ао;W;02/04/12;000000;0.307;6038880000
ФСК ЕЭС ао;W;09/04/12;000000;0.30647;4626170000
ФСК ЕЭС ао;W;16/04/12;000000;0.29397;6264110000
ФСК ЕЭС ао;W;23/04/12;000000;0.26832;8417780000
ФСК ЕЭС ао;W;30/04/12;000000;0.25;6022850000
ФСК ЕЭС ао;W;07/05/12;000000;0.23033;11603990000
ФСК ЕЭС ао;W;14/05/12;000000;0.229;21117510000
ФСК ЕЭС ао;W;21/05/12;000000;0.1911;17953460000
ФСК ЕЭС ао;W;28/05/12;000000;0.15999;17520130000
ФСК ЕЭС ао;W;04/06/12;000000;0.19616;27684620000
ФСК ЕЭС ао;W;11/06/12;000000;0.1948;9828000000
ФСК ЕЭС ао;W;18/06/12;000000;0.17899;14240180000
ФСК ЕЭС ао;W;25/06/12;000000;0.19567;14083080000
ФСК ЕЭС ао;W;02/07/12;000000;0.22049;20263000000
ФСК ЕЭС ао;W;09/07/12;000000;0.2319;25114260000
ФСК ЕЭС ао;W;16/07/12;000000;0.23677;17888930000
ФСК ЕЭС ао;W;23/07/12;000000;0.23585;16949520000
ФСК ЕЭС ао;W;30/07/12;000000;0.2155;15132370000
ФСК ЕЭС ао;W;06/08/12;000000;0.22382;14742190000
ФСК ЕЭС ао;W;13/08/12;000000;0.22168;7967750000
ФСК ЕЭС ао;W;20/08/12;000000;0.22138;8185910000
ФСК ЕЭС ао;W;27/08/12;000000;0.19988;17050710000
ФСК ЕЭС ао;W;03/09/12;000000;0.21606;17359170000
ФСК ЕЭС ао;W;10/09/12;000000;0.2413;26490110000
ФСК ЕЭС ао;W;17/09/12;000000;0.2331;16052590000
ФСК ЕЭС ао;W;24/09/12;000000;0.23234;11963020000
ФСК ЕЭС ао;W;01/10/12;000000;0.23567;13116640000
ФСК ЕЭС ао;W;08/10/12;000000;0.23057;9801390000
ФСК ЕЭС ао;W;15/10/12;000000;0.23051;11913540000
ФСК ЕЭС ао;W;22/10/12;000000;0.20395;11568270000
ФСК ЕЭС ао;W;29/10/12;000000;0.20484;14056200000
ФСК ЕЭС ао;W;05/11/12;000000;0.201;12968070000
ФСК ЕЭС ао;W;12/11/12;000000;0.19269;9216500000
ФСК ЕЭС ао;W;19/11/12;000000;0.2122;11527200000
ФСК ЕЭС ао;W;26/11/12;000000;0.2085;15180320000
ФСК ЕЭС ао;W;03/12/12;000000;0.21049;8994410000
ФСК ЕЭС ао;W;10/12/12;000000;0.214;7341410000
ФСК ЕЭС ао;W;17/12/12;000000;0.2055;8141880000
ФСК ЕЭС ао;W;24/12/12;000000;0.20104;5164050000
ФСК ЕЭС ао;W;07/01/13;000000;0.20222;6073190000
ФСК ЕЭС ао;W;14/01/13;000000;0.21755;13192420000
ФСК ЕЭС ао;W;21/01/13;000000;0.2195;13317260000
ФСК ЕЭС ао;W;28/01/13;000000;0.2175;10081650000
ФСК ЕЭС ао;W;04/02/13;000000;0.2077;6362490000
ФСК ЕЭС ао;W;11/02/13;000000;0.20086;10267660000
ФСК ЕЭС ао;W;18/02/13;000000;0.19359;9665590000
ФСК ЕЭС ао;W;25/02/13;000000;0.18879;7521500000
ФСК ЕЭС ао;W;04/03/13;000000;0.18789;6922790000
ФСК ЕЭС ао;W;11/03/13;000000;0.176;10490950000
ФСК ЕЭС ао;W;18/03/13;000000;0.16126;9891540000
ФСК ЕЭС ао;W;25/03/13;000000;0.1612;17660990000
ФСК ЕЭС ао;W;01/04/13;000000;0.1502;15887290000
ФСК ЕЭС ао;W;08/04/13;000000;0.11669;37597970000
ФСК ЕЭС ао;W;15/04/13;000000;0.10051;38909640000
ФСК ЕЭС ао;W;22/04/13;000000;0.1102;49272340000
ФСК ЕЭС ао;W;29/04/13;000000;0.13417;30926300000
ФСК ЕЭС ао;W;06/05/13;000000;0.1205;17811940000
ФСК ЕЭС ао;W;13/05/13;000000;0.12621;39585440000
ФСК ЕЭС ао;W;20/05/13;000000;0.12999;36866370000
